Regulator	Interaction	Target	Weight
AT1G51140	regulates	AT1G01520	0.529237052819495
AT4G36730	regulates	AT1G01520	0.627406391493135
AT4G36780	regulates	AT1G01520	0.770215429574935
AT5G37020	regulates	AT1G01520	0.353745660320457
AT4G36730	regulates	AT1G02030	0.800115103520482
AT4G36780	regulates	AT1G02030	0.601028588978281
AT5G37020	regulates	AT1G02340	0.627328855416248
AT4G36730	regulates	AT1G03170	0.441137524535981
AT5G37020	regulates	AT1G03170	0.491642663583927
AT1G51140	regulates	AT1G05420	0.443633421116723
AT4G36780	regulates	AT1G05420	0.442281647035577
AT5G37020	regulates	AT1G05710	0.460003839340984
AT4G36730	regulates	AT1G07010	0.601028588978281
AT5G37020	regulates	AT1G07010	0.395671854597525
AT4G36730	regulates	AT1G10120	0.495743743211771
AT4G36780	regulates	AT1G10120	0.441137524535981
AT4G36730	regulates	AT1G10480	0.439639541885883
AT5G37020	regulates	AT1G10480	0.366312415227435
AT1G51140	regulates	AT1G12370	0.631072648501966
AT4G36730	regulates	AT1G12370	0.609901065729527
AT1G51140	regulates	AT1G13670	0.847744568728685
AT4G36780	regulates	AT1G13670	0.336976819666814
AT5G37020	regulates	AT1G13670	0.635398062154512
AT4G36730	regulates	AT1G14345	0.667627084397279
AT4G36780	regulates	AT1G14345	0.945297980573056
AT5G37020	regulates	AT1G14430	0.441137524535981
AT4G36730	regulates	AT1G16720	0.462887809073486
AT4G36780	regulates	AT1G16720	0.734469065320706
AT1G51140	regulates	AT1G17100	0.382672959524711
AT4G36730	regulates	AT1G17100	0.336101070888217
AT5G37020	regulates	AT1G17100	0.872358275059499
AT1G51140	regulates	AT1G18330	0.495043944630286
AT1G51140	regulates	AT1G18810	1
AT4G36730	regulates	AT1G18810	0.62659879194354
AT4G36780	regulates	AT1G18810	0.441137524535981
AT5G37020	regulates	AT1G18810	0.497565204407379
AT4G36780	regulates	AT1G19490	0.512444719014023
AT5G37020	regulates	AT1G23010	0.740549889894671
AT5G37020	regulates	AT1G26790	0.676115446868978
AT1G51140	regulates	AT1G27740	0.623453952246712
AT4G36730	regulates	AT1G34520	0.362378677997547
AT4G36730	regulates	AT1G42550	0.66770487055803
AT4G36780	regulates	AT1G42550	0.42019087569424
AT1G51140	regulates	AT1G48100	0.420742664178538
AT5G37020	regulates	AT1G49010	0.820454784344682
AT4G36730	regulates	AT1G50020	0.747078218622139
AT4G36780	regulates	AT1G50250	0.517234976652509
AT1G51140	regulates	AT1G51140	0.771334381445382
AT4G36730	regulates	AT1G52200	0.601028588978281
AT1G51140	regulates	AT1G58460	0.534599023519764
AT4G36730	regulates	AT1G58460	0.364301417069872
AT5G37020	regulates	AT1G58460	0.769044335368345
AT4G36780	regulates	AT1G60270	0.60278812236004
AT4G36730	regulates	AT1G62030	0.598037504426294
AT1G51140	regulates	AT1G62975	0.640042164208019
AT5G37020	regulates	AT1G62975	0.378577939153469
AT4G36730	regulates	AT1G63650	0.437358892941415
AT1G51140	regulates	AT1G64000	0.727341800495724
AT4G36730	regulates	AT1G64000	0.724195074047247
AT1G51140	regulates	AT1G64500	0.385758611329984
AT4G36780	regulates	AT1G64500	0.479939776694798
AT5G37020	regulates	AT1G64500	0.362326837564414
AT5G37020	regulates	AT1G66230	0.437016693084625
